method,href,products,isCollection,resourceREF,methodREF
POST,/account/login,ALL,N,accountResource,login_POST
POST,/account/logout,ALL,N,accountResource,account_POST
POST,/account/register,ALL,N,accountResource,account_POST
GET,/account/profile,ALL,N,accountResource,account_GET_PATCH
PATCH,/account/profile,ALL,N,accountResource,account_GET_PATCH
GET,/account/list,ALL,N,accountResource,account_ALL
GET,/account/:id,ALL,N,accountResource,account_ALL
PATCH,/account/:id,ALL,N,accountResource,account_ALL
POST,/account/change_password,ALL,N,accountResource,account_ALL
DELETE,/account/:id,ALL,N,accountResource,account_ALL
GET,/table/list,ALL,Y,tableResource,table_ALL
GET,/table/:id,ALL,N,tableResource,table_ALL
POST,/table/create,ALL,N,tableResource,table_ALL
PATCH,/table/:id,ALL,N,tableResource,table_ALL
DELETE,/table/:id,ALL,N,tableResource,table_ALL
GET,/zone/list,ALL,Y,tableResource,table_ALL
GET,/zone/:id,ALL,N,tableResource,table_ALL
POST,/zone/create,ALL,N,tableResource,table_ALL
PATCH,/zone/:id,ALL,N,tableResource,table_ALL
DELETE,/zone/:id,ALL,N,tableResource,table_ALL
GET,/menu/list,ALL,Y,menuResource,menu_ALL
GET,/menu/:id,ALL,N,menuResource,menu_ALL
POST,/menu/create,ALL,N,menuResource,menu_ALL
PATCH,/menu/:id,ALL,N,menuResource,menu_ALL
DELETE,/menu/:id,ALL,N,menuResource,menu_ALL
GET,/menu/categories/list,ALL,Y,menuResource,menu_ALL
GET,/menu/categories/:id,ALL,N,menuResource,menu_ALL
POST,/menu/categories/create,ALL,N,menuResource,menu_ALL
PATCH,/menu/categories/:id,ALL,N,menuResource,menu_ALL
DELETE,/menu/categories/:id,ALL,N,menuResource,menu_ALL
GET,/bill/list,ALL,Y,billResource,bill_ALL
POST,/bill,ALL,N,billResource,bill_ALL
GET,/bill/:id,ALL,N,billResource,bill_ALL
PATCH,/bill/:id,ALL,N,billResource,bill_ALL
POST,/bill/:id/pay,ALL,N,billResource,bill_ALL
POST,/bill/:id/cancel,ALL,N,billResource,bill_ALL
POST,/bill/:id/switch,ALL,N,billResource,bill_ALL
DELETE,/bill/:id,ALL,N,billResource,bill_ALL
POST,/bill/:id/orders,ALL,N,billResource,bill_ALL
GET,/order/:id,ALL,N,billResource,bill_ALL
PATCH,/order/:id,ALL,N,billResource,bill_ALL
POST,/order/:id/cancel,ALL,N,billResource,bill_ALL
DELETE,/order/:id,ALL,N,billResource,bill_ALL
GET,/role/list,ALL,Y,roleResource,role_ALL
GET,/role/:id,ALL,N,roleResource,role_ALL
POST,/role/create,ALL,N,roleResource,role_ALL
PATCH,/role/:id,ALL,N,roleResource,role_ALL
DELETE,/role/:id,ALL,N,roleResource,role_ALL
GET,/permission/list,ALL,Y,roleResource,role_ALL
GET,/permission/:id,ALL,N,roleResource,role_ALL
GET,/report/over,ALL,N,reportResource,report_ALL
GET,/item/list,ALL,Y,itemResource,item_ALL
GET,/item/:id,ALL,N,itemResource,item_ALL
POST,/item/create,ALL,N,itemResource,item_ALL
PATCH,/item/:id,ALL,N,itemResource,item_ALL
DELETE,/item/:id,ALL,N,itemResource,item_ALL
GET,/item/categories/list,ALL,Y,itemResource,item_ALL
GET,/item/categories/:id,ALL,N,itemResource,item_ALL
POST,/item/categories/create,ALL,N,itemResource,item_ALL
PATCH,/item/categories/:id,ALL,N,itemResource,item_ALL
DELETE,/item/categories/:id,ALL,N,itemResource,item_ALL
